Stockholm,Södertälje,21
Södertälje,Norrköping,59
Södertälje,Katrineholm,47
Norrköping,Linköping,24
Linköping,Mjölby,16
Mjölby,Nässjö,39
Nässjö,Alvesta,33
Alvesta,Hässleholm,38
Hässleholm,Lund,30
Lund,Malmö,13
Göteborg,Varberg,39
Varberg,Halmstad,29
Halmstad,Åstorp,36
Åstorp,Lund,36
Skövde,Herrljunga,35
Herrljunga,Göteborg,39
Skövde,Falköping,16
Herrljunga,Falköping,15
Falköping,Jönköping,45
Halmstad,Värnamo,99
Värnamo,Alvesta,39
Värnamo,Nässjö,59
Alvesta,Emmaboda,50
Emmaboda,Kalmar,29
Hässleholm,Kristianstad,26
Kristianstad,Karlskrona,95
Karlskrona,Emmaboda,44
Jönköping,Nässjö,34
Norrköping,Katrineholm,25
Katrineholm,Hallsberg,31
Hallsberg,Örebro,19
Hallsberg,Skövde,42
Örebro,Arboga,21
Arboga,Västerås,28
Stockholm,Västerås,90
Stockholm,Uppsala,51
Uppsala,Gävle,59
Gävle,Sundsvall,217
Sundsvall,Ånge,73
Ånge,Östersund,64
Gävle,Ånge,165
Sundsvall,Umeå,190
Umeå,Boden,186
Boden,Gällivare,119
Gällivare,Kiruna,67
Boden,Luleå,26
Borlänge,Mora,74
Mora,Sveg,161
Sveg,Östersund,241
Östersund,Gällivare,831
Uppsala,Sala,35
Avesta,Storvik,42
Storvik,Borlänge,63
Gävle,Storvik,30
Avesta,Sala,19
Avesta,Borlänge,48
Avesta,Fagersta,24
Fagersta,Frövi,50
Frövi,Örebro,21
Frövi,Ludvika,86
Fagersta,Ludvika,45
Ludvika,Borlänge,35
Västerås,Eskilstuna,33
Eskilstuna,Södertälje,40
Eskilstuna,Katrineholm,46
Eskilstuna,Arboga,26
Strömstad,Uddevalla,80
Uddevalla,Göteborg,74
Uddevalla,Trollhättan,53
Trollhättan,Göteborg,44
Trollhättan,Herrljunga,103
Linköping,Kalmar,201
Helsingborg,Åstorp,23
Åstorp,Hässleholm,39
Lund,Helsingborg,35
